#"Step","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,300.49383217563053,333.02333843562724,0.9636071564315247,0
10000,298.12971217932153,333.02333843562724,0.9636071564315247,59.2
15000,300.3351149818127,333.02333843562724,0.9636071564315247,57.5
20000,301.1400203559088,333.02333843562724,0.9636071564315247,55.9
25000,300.22198726078307,333.02333843562724,0.9636071564315247,54.5
30000,301.497662156733,322.64193457000545,0.9946124102031745,50.4
35000,297.26834810142367,319.21641574569884,1.0052856192425057,49.4
40000,301.15056289703034,315.3162610042923,1.0177200222823892,48.3
45000,300.91191517733114,312.4007547024626,1.0272179799338954,47.4
50000,301.2003494009991,310.929636488084,1.0320781119479625,46.5
55000,301.4433123017648,310.929636488084,1.0320781119479625,44.9
60000,301.3413096479868,310.929636488084,1.0320781119479625,44.3
65000,300.9144488841815,310.929636488084,1.0320781119479625,43.8
70000,303.66299122126,310.929636488084,1.0320781119479625,43.2
75000,302.4975281492248,310.929636488084,1.0320781119479625,42.7
80000,300.41709979390004,310.929636488084,1.0320781119479625,42.2
85000,303.78442864058536,310.929636488084,1.0320781119479625,41.8
90000,299.3199155733626,310.929636488084,1.0320781119479625,41.4
95000,299.64579748888275,310.929636488084,1.0320781119479625,41
100000,299.1672829464171,310.929636488084,1.0320781119479625,40.6
105000,301.8694153350674,310.929636488084,1.0320781119479625,40.2
110000,299.80017719702164,310.929636488084,1.0320781119479625,39.9
115000,301.2856266626054,310.929636488084,1.0320781119479625,39.6
120000,301.0452028500411,310.929636488084,1.0320781119479625,39.3
125000,297.05833443928816,310.929636488084,1.0320781119479625,39
130000,299.68924356700074,310.929636488084,1.0320781119479625,38.7
135000,301.0298225956329,310.929636488084,1.0320781119479625,38.5
140000,302.8981875461669,310.929636488084,1.0320781119479625,38.2
145000,302.79842630907996,310.929636488084,1.0320781119479625,38
150000,300.1039642281352,310.929636488084,1.0320781119479625,37.8
155000,301.6225866812793,310.929636488084,1.0320781119479625,37.6
160000,300.49990372001787,310.929636488084,1.0320781119479625,37.4
165000,297.72283664963544,310.929636488084,1.0320781119479625,37.2
170000,300.23330321148853,310.929636488084,1.0320781119479625,37.1
175000,303.0006240852774,310.929636488084,1.0320781119479625,36.9
180000,301.816067095087,310.929636488084,1.0320781119479625,36.7
185000,300.62808656846835,310.929636488084,1.0320781119479625,36.6
190000,299.3201516476493,310.929636488084,1.0320781119479625,36.4
195000,301.26061662569475,310.929636488084,1.0320781119479625,36.3
200000,301.69144502479486,310.929636488084,1.0320781119479625,36.1
205000,300.6783919577822,310.929636488084,1.0320781119479625,36
210000,301.8170827534555,310.929636488084,1.0320781119479625,35.9
215000,299.2438376931099,310.929636488084,1.0320781119479625,35.8
220000,298.1421879733092,310.929636488084,1.0320781119479625,35.7
225000,300.96401931945934,310.929636488084,1.0320781119479625,35.5
230000,300.07951275957856,310.929636488084,1.0320781119479625,35.4
235000,298.1958710487559,310.929636488084,1.0320781119479625,35.3
240000,301.6272687246878,310.929636488084,1.0320781119479625,35.2
245000,299.61293915611714,310.929636488084,1.0320781119479625,35.2
250000,301.76530948209785,310.929636488084,1.0320781119479625,35.1
255000,297.81588485605954,310.929636488084,1.0320781119479625,35
260000,299.2718653197909,310.929636488084,1.0320781119479625,34.9
265000,300.18439824251755,310.929636488084,1.0320781119479625,34.8
270000,299.62424570159214,310.929636488084,1.0320781119479625,34.7
275000,301.07312384863656,310.929636488084,1.0320781119479625,34.7
280000,302.31747333700923,310.929636488084,1.0320781119479625,34.6
285000,298.5727628800852,310.929636488084,1.0320781119479625,34.5
290000,300.8436964695394,310.929636488084,1.0320781119479625,34.4
295000,300.8920356916373,310.929636488084,1.0320781119479625,34.4
300000,302.7992597579105,310.929636488084,1.0320781119479625,34.3
