Step,Interval Speed (ns/day)
5000,0.000
10000,59.204
15000,55.865
20000,52.982
25000,50.535
30000,38.874
35000,44.707
40000,42.905
45000,41.572
50000,40.247
55000,34.436
60000,39.317
65000,38.458
70000,37.670
75000,37.093
80000,36.520
85000,36.074
90000,35.574
95000,35.209
100000,34.862
105000,34.507
110000,34.111
115000,33.922
120000,33.658
125000,33.488
130000,33.254
135000,33.156
140000,32.874
145000,32.736
150000,32.652
155000,32.606
160000,32.478
165000,32.350
170000,32.149
175000,32.063
180000,32.000
185000,31.877
190000,31.775
195000,31.738
200000,31.648
205000,31.610
210000,31.563
215000,31.529
220000,31.448
225000,31.393
230000,31.342
235000,31.340
240000,31.276
245000,31.299
250000,31.180
255000,31.213
260000,31.110
265000,31.182
270000,31.128
275000,31.130
280000,31.032
285000,30.994
290000,30.979
295000,30.984
300000,31.009
