#"Step","Time (ps)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,297.91692428755204,333.02333843562724,0.9636071564315247,0
10000,19.999999999999794,299.7499920045333,333.02333843562724,0.9636071564315247,445
15000,29.99999999999425,302.504904483316,333.02333843562724,0.9636071564315247,447
20000,40.00000000000292,301.58894623001714,333.02333843562724,0.9636071564315247,446
25000,50.00000000001514,299.4874075815132,333.02333843562724,0.9636071564315247,446
30000,60.00000000002736,299.14469081085565,326.2609955754708,0.9835796387774353,422
35000,70.00000000001826,303.6146741819007,322.696361289911,0.9944446565574614,421
40000,79.99999999999496,301.5515358228576,317.7901163135492,1.009797522647516,420
45000,89.99999999997165,299.2954510456619,317.17576568133455,1.0117534405125355,419
50000,99.99999999994834,301.65007400224795,314.3449598178465,1.0208646970552417,418
55000,109.99999999992504,297.3040227874426,314.3449598178465,1.0208646970552417,414
60000,119.99999999990173,297.94446931850086,314.3449598178465,1.0208646970552417,416
65000,129.99999999989262,302.05717717163844,314.3449598178465,1.0208646970552417,417
70000,139.99999999994037,301.8025847127179,314.3449598178465,1.0208646970552417,419
75000,149.99999999998812,300.06295735690344,314.3449598178465,1.0208646970552417,420
80000,160.00000000003587,301.4846913599515,314.3449598178465,1.0208646970552417,420
85000,170.00000000008362,301.1799558128511,314.3449598178465,1.0208646970552417,421
90000,180.00000000013137,300.29800210436025,314.3449598178465,1.0208646970552417,422
95000,190.0000000001791,299.67292596804657,314.3449598178465,1.0208646970552417,422
100000,200.00000000022686,300.6451928960457,314.3449598178465,1.0208646970552417,423
105000,210.0000000002746,304.32280298618093,314.3449598178465,1.0208646970552417,423
110000,220.00000000032236,301.93351928394037,314.3449598178465,1.0208646970552417,423
115000,230.0000000003701,298.5838411469559,314.3449598178465,1.0208646970552417,424
120000,240.00000000041786,300.050561661811,314.3449598178465,1.0208646970552417,424
125000,250.0000000004656,298.321110451321,314.3449598178465,1.0208646970552417,424
130000,260.00000000051335,301.09893349450175,314.3449598178465,1.0208646970552417,424
135000,270.0000000005611,302.2397354227157,314.3449598178465,1.0208646970552417,425
140000,280.00000000060885,301.0387849912959,314.3449598178465,1.0208646970552417,425
145000,290.0000000006566,301.76995189537195,314.3449598178465,1.0208646970552417,425
150000,300.00000000070435,302.6981379542645,314.3449598178465,1.0208646970552417,425
155000,310.0000000007521,298.5234288491743,314.3449598178465,1.0208646970552417,425
160000,320.00000000079984,299.7101570400362,314.3449598178465,1.0208646970552417,425
165000,330.0000000008476,301.649921218936,314.3449598178465,1.0208646970552417,425
170000,340.00000000089534,300.7326433361395,314.3449598178465,1.0208646970552417,425
175000,350.0000000009431,300.6258566077911,314.3449598178465,1.0208646970552417,425
180000,360.00000000099084,303.1991696074153,314.3449598178465,1.0208646970552417,425
185000,370.0000000010386,301.3727675215873,314.3449598178465,1.0208646970552417,425
190000,380.00000000108633,301.29169263507805,314.3449598178465,1.0208646970552417,425
195000,390.0000000011341,298.63186916805836,314.3449598178465,1.0208646970552417,425
200000,400.00000000118183,302.3883330924837,314.3449598178465,1.0208646970552417,426
205000,410.0000000012296,299.6701449830667,314.3449598178465,1.0208646970552417,426
210000,420.00000000127733,301.7668745580318,314.3449598178465,1.0208646970552417,426
215000,430.0000000013251,304.8024333114193,314.3449598178465,1.0208646970552417,426
220000,440.0000000013728,300.7701399759288,314.3449598178465,1.0208646970552417,426
225000,450.0000000014206,302.70368512515137,314.3449598178465,1.0208646970552417,425
230000,460.0000000014683,299.9182063058383,314.3449598178465,1.0208646970552417,425
235000,470.00000000151607,298.41974133573996,314.3449598178465,1.0208646970552417,425
240000,480.0000000015638,301.3390889181959,314.3449598178465,1.0208646970552417,425
245000,490.00000000161157,302.9731041756528,314.3449598178465,1.0208646970552417,425
250000,500.0000000016593,299.2589656753678,314.3449598178465,1.0208646970552417,425
255000,510.00000000170706,300.5789354182486,314.3449598178465,1.0208646970552417,425
260000,520.0000000015274,301.04150743353165,314.3449598178465,1.0208646970552417,425
265000,530.0000000012909,298.83228011209513,314.3449598178465,1.0208646970552417,425
270000,540.0000000010544,301.61882846778974,314.3449598178465,1.0208646970552417,425
275000,550.000000000818,299.8745755747107,314.3449598178465,1.0208646970552417,425
280000,560.0000000005815,299.6371837341099,314.3449598178465,1.0208646970552417,425
285000,570.000000000345,298.4047104899148,314.3449598178465,1.0208646970552417,425
290000,580.0000000001086,298.3484861811382,314.3449598178465,1.0208646970552417,425
295000,589.9999999998721,300.5136272153982,314.3449598178465,1.0208646970552417,425
300000,599.9999999996356,300.3524273653841,314.3449598178465,1.0208646970552417,425
